caption,likes,comments,saves,shares,reach,impressions,watch_time,followers,hashtags,timestamp,content_type,topic,posting_hour,day_of_week,posting_time,engagement_score,estimated_likes_uplift,estimated_reach_uplift,post_description
The ancient pines here are cathedral-tall 🌲,5410,244,818,1272,51635,138432,2.89,45431,#nature #trailrunning #forestwalk #naturelover,2025-03-28 16:28:29,reel,nature,16,Friday,afternoon,18414.71,5.35,11.57,ancient pines here cathedral tall nature
Found a breathtaking clearing no one knows about 🌳,6484,965,2922,1004,54404,111875,26.34,99999,#naturegram #naturevibes #nature #earthday,2025-03-19 05:18:04,reel,nature,5,Wednesday,morning,24338.45,26.26,17.55,found breathtaking clearing knows about naturegram
The hidden river bend at the last light 🌊,2250,181,329,166,29632,80227,24.6,43097,#landscape #forestwalk #wildbeauty #earthpix,2025-10-24 12:16:51,image,nature,12,Friday,afternoon,7623.41,-56.19,-35.97,hidden river bend last light landscape
Sundown from a deciduous rocky outcrop 🌅,19776,1439,8193,5366,145148,273542,3.95,74763,#greenvibes #conservation #treelife #naturelovers,2025-08-03 09:23:29,image,nature,9,Sunday,morning,75916.66,285.09,213.63,sundown from deciduous rocky outcrop greenvibes
Every cool rock has a story to tell 🪨,1697,118,709,239,12629,24235,9.48,66065,#naturelovers #backcountry #naturelover #greenvibes,2025-05-28 15:01:59,image,nature,15,Wednesday,afternoon,5899.5,-66.96,-72.71,every cool rock story tell naturelovers
Found a verdant spring bubbling from rock 💧,1709,109,565,200,24104,69330,8.15,37943,#naturevibes #wilderness #outdoors #earthday,2025-10-11 03:57:15,carousel,nature,3,Saturday,night,7289.1,-66.72,-47.92,found verdant spring bubbling from naturevibes
A golden woodland creek at full flood 🌊,3985,367,530,1108,39077,114723,7.95,17114,#naturelover #nationalpark #naturephotography #exploreoutdoors,2025-05-03 12:14:07,carousel,nature,12,Saturday,afternoon,14294.54,-22.4,-15.56,golden woodland creek full flood naturelover
The still horizon line from the ridge 🌄,376,43,178,59,3760,8362,29.93,35980,#wildbeauty #forestwalk #naturelover #trailrunning,2025-08-07 00:19:48,reel,nature,0,Thursday,night,1525.86,-92.68,-91.88,still horizon line from ridge wildbeauty
The alpine view from the fire tower 🗼,884,42,159,194,8978,20375,18.68,58269,#naturelovers #getoutside #naturephotography #backcountry,2025-02-12 14:00:14,carousel,nature,14,Wednesday,afternoon,3003.15,-82.79,-80.6,alpine view from fire tower naturelovers
The towering canyon walls are humbling 🏜,1002,40,543,238,12247,26702,10.22,22544,#earthday #backcountry #nature #hiking,2025-10-07 21:36:51,reel,nature,21,Tuesday,evening,4758.41,-80.49,-73.54,towering canyon walls humbling earthday backcountry
Sundown from a lush rocky outcrop 🌅,17305,902,9627,4631,113890,316374,19.05,43296,#trailrunning #adventureseeker #forestwalk #naturegram,2025-10-23 22:00:08,reel,nature,22,Thursday,night,75264.72,236.97,146.09,sundown from lush rocky outcrop trailrunning
Stars above a emerald meadow tonight 🌟,3232,64,847,177,45730,148962,25.29,22390,#earthday #getoutside #conservation #naturegram,2025-12-23 16:58:47,carousel,nature,16,Tuesday,afternoon,13059.36,-37.06,-1.19,stars above emerald meadow tonight earthday
The golden waterfall was worth every step 💧,1551,235,787,456,14567,25514,20.47,52104,#naturelover #adventureseeker #greenworld #naturelovers,2025-02-03 06:20:52,image,nature,6,Monday,morning,6773.77,-69.8,-68.52,golden waterfall worth every step naturelover
Following towering trails through the brush 🥾,749,140,357,166,8654,19886,20.81,60272,#naturegram #backcountry #naturevibes #naturetherapy,2025-03-24 06:06:08,carousel,nature,6,Monday,morning,3347.28,-85.42,-81.3,following towering trails through brush naturegram
This temperate trail has no crowds ever 🥾,1449,34,546,285,4472,13038,3.65,41754,#gooutside #greenvibes #naturelover #naturelovers,2025-05-12 07:11:09,reel,nature,7,Monday,morning,4556.74,-71.78,-90.34,this temperate trail crowds ever gooutside
Morning hike with quiet views ahead 🌄,1448,155,535,334,19676,52189,8.8,99999,#naturelovers #naturegram #naturelover #forestwalk,2025-09-17 19:19:29,carousel,nature,19,Wednesday,evening,6604.47,-71.8,-57.48,morning hike with quiet views naturelovers
The dewy light at the forest edge 🌳,2933,275,1560,186,31798,88791,3.7,27398,#greenvibes #hiking #naturetherapy #scenery,2025-06-14 12:02:20,image,nature,12,Saturday,afternoon,12424.63,-42.89,-31.29,dewy light forest edge greenvibes hiking
Followed a tranquil deer trail for an hour 🦌,7998,767,1913,899,112605,268704,26.12,25047,#naturelover #earthpix #earthday #gooutside,2025-02-24 10:35:37,image,nature,10,Monday,morning,30125.37,55.74,143.31,followed tranquil deer trail hour naturelover
Sunlight through golden leaves 🌤,3830,715,2008,350,33810,65168,13.23,16683,#wilderness #earthday #nationalpark #nature,2025-02-06 05:16:19,reel,nature,5,Thursday,morning,14549.54,-25.42,-26.94,sunlight through golden leaves wilderness earthday
Following rugged trails through the brush 🥾,605,97,146,135,7118,21828,20.53,54626,#nature #treelife #forestwalk #conservation,2025-11-01 12:04:03,carousel,nature,12,Saturday,afternoon,2458.74,-88.22,-84.62,following rugged trails through brush nature
Root deep grow dewy lessons from trees 🌳,7231,850,3427,464,72383,181370,25.88,53865,#wildnature #earthpix #naturephotography #greenworld,2025-10-13 17:34:03,reel,nature,17,Monday,evening,27964.25,40.81,56.4,root deep grow dewy lessons wildnature
Nature's coastal palette never disappoints 🎨,2594,367,564,207,35494,70719,18.65,41539,#naturelovers #backcountry #outdoors #naturevibes,2025-01-27 09:26:28,image,nature,9,Monday,morning,8803.27,-49.49,-23.31,nature coastal palette never disappoints naturelovers
